row,col,plot
12,46,2075
12,47,2074
12,48,2073
12,49,2072
12,50,2071
12,51,2070
12,52,2069
12,53,2068
12,54,2067
12,55,2066
12,56,2065
12,57,2064
12,58,2063
12,59,2062
12,60,2061
12,61,2930
12,62,2929
12,63,2928
12,64,2927
12,65,2926
12,66,2925
12,67,2924
12,68,2923
12,69,2922
12,70,2921
12,71,2920
12,72,2919
12,73,2918
12,74,2917
12,75,2916
12,76,3275
12,77,3274
12,78,3273
12,79,3272
12,80,3271
12,81,3270
12,82,3269
12,83,3268
12,84,3267
12,85,3266
12,86,3265
12,87,3264
12,88,3263
12,89,3262
12,90,3261
12,91,BORLAUG 100
12,92,BORLAUG 100
12,93,BORLAUG 100
12,94,BORLAUG 100
12,95,BORLAUG 100
12,96,BORLAUG 100
12,97,BORLAUG 100
12,98,BORLAUG 100
12,99,BORLAUG 100
12,100,BORLAUG 100
12,101,300
12,102,299
12,103,298
12,104,297
12,105,296
13,1,501
13,2,502
13,3,503
13,4,504
13,5,505
13,6,506
13,7,507
13,8,508
13,9,509
13,10,510
13,11,511
13,12,512
13,13,513
13,14,514
13,15,515
13,16,876
13,17,877
13,18,878
13,19,879
13,20,880
13,21,881
13,22,882
13,23,883
13,24,884
13,25,885
13,26,886
13,27,887
13,28,888
13,29,889
13,30,890
13,31,1701
13,32,1702
13,33,1703
13,34,1704
13,35,1705
13,36,1706
13,37,1707
13,38,1708
13,39,1709
13,40,1710
13,41,1711
13,42,1712
13,43,1713
13,44,1714
13,45,1715
13,46,2076
13,47,2077
13,48,2078
13,49,2079
13,50,2080
13,51,2081
13,52,2082
13,53,2083
13,54,2084
13,55,2085
13,56,2086
13,57,2087
13,58,2088
13,59,2089
13,60,2090
13,61,2901
13,62,2902
13,63,2903
13,64,2904
13,65,2905
13,66,2906
13,67,2907
13,68,2908
13,69,2909
13,70,2910
13,71,2911
13,72,2912
13,73,2913
13,74,2914
13,75,2915
13,76,3276
13,77,3277
13,78,3278
13,79,3279
13,80,3280
13,81,3281
13,82,3282
13,83,3283
13,84,3284
13,85,3285
13,86,3286
13,87,3287
13,88,3288
13,89,3289
13,90,3290
13,91,281
13,92,282
13,93,283
13,94,284
13,95,285
13,96,286
13,97,287
13,98,288
13,99,289
13,100,290
13,101,291
13,102,292
13,103,293
13,104,294
13,105,295
14,1,490
14,2,489
14,3,488
14,4,487
14,5,486
14,6,485
14,7,484
14,8,483
14,9,482
14,10,481
14,11,480
14,12,479
14,13,478
14,14,477
14,15,476
14,16,915
14,17,914
14,18,913
14,19,912
14,20,911
14,21,910
14,22,909
14,23,908
14,24,907
14,25,906
14,26,905
14,27,904
14,28,903
14,29,902
14,30,901
14,31,1690
14,32,1689
14,33,1688
14,34,1687
14,35,1686
14,36,1685
14,37,1684
14,38,1683
14,39,1682
14,40,1681
14,41,1680
14,42,1679
14,43,1678
14,44,1677
14,45,1676
14,46,2115
14,47,2114
14,48,2113
14,49,2112
14,50,2111
14,51,2110
14,52,2109
14,53,2108
14,54,2107
14,55,2106
14,56,2105
14,57,2104
14,58,2103
14,59,2102
14,60,2101
14,61,2890
14,62,2889
14,63,2888
14,64,2887
14,65,2886
14,66,2885
14,67,2884
14,68,2883
14,69,2882
14,70,2881
14,71,2880
14,72,2879
14,73,2878
14,74,2877
14,75,2876
14,76,3315
14,77,3314
14,78,3313
14,79,3312
14,80,3311
14,81,3310
14,82,3309
14,83,3308
14,84,3307
14,85,3306
14,86,3305
14,87,3304
14,88,3303
14,89,3302
14,90,3301
14,91,280
14,92,279
14,93,278
14,94,277
14,95,276
14,96,275
14,97,274
14,98,273
14,99,272
14,100,271
14,101,270
14,102,269
14,103,268
14,104,267
14,105,266
15,1,461
15,2,462
15,3,463
15,4,464
15,5,465
15,6,466
15,7,467
15,8,468
15,9,469
15,10,470
15,11,471
15,12,472
15,13,473
15,14,474
15,15,475
15,16,916
15,17,917
15,18,918
15,19,919
15,20,920
15,21,921
15,22,922
15,23,923
15,24,924
15,25,925
15,26,926
15,27,927
15,28,928
15,29,929
15,30,930
15,31,1661
15,32,1662
15,33,1663
15,34,1664
15,35,1665
15,36,1666
15,37,1667
15,38,1668
15,39,1669
15,40,1670
15,41,1671
15,42,1672
15,43,1673
15,44,1674
15,45,1675
15,46,2116
15,47,2117
15,48,2118
15,49,2119
15,50,2120
15,51,2121
15,52,2122
15,53,2123
15,54,2124
15,55,2125
15,56,2126
15,57,2127
15,58,2128
15,59,2129
15,60,2130
15,61,2861
15,62,2862
15,63,2863
15,64,2864
15,65,2865
15,66,2866
15,67,2867
15,68,2868
15,69,2869
